county_code,taxrate,tax_st_diff_top20
12045,0.0316214,0
12047,0.0480077,0
12049,0.0245011,0
12051,0.0331299,0
12053,0.0332242,0
12055,0.0158965,0
12057,0.0239198,0
12059,0.0095756,0
12061,0.0237107,0
12063,0.0149918,0
12065,0.0152339,0
12067,0.0156102,0
12069,0.0167538,0
12071,0.0248733,0
12073,0.0220065,0
12075,0.0185662,0
12077,0.0114761,0
12079,0.0151738,0
12081,0.0193643,0
12083,0.015636,0
12085,0.0212631,0
12087,0.0340927,0
12089,0.023826,0
12091,0.0149999,0
12093,0.0226332,0
12095,0.0325368,0
12097,0.030611,0
12099,0.0271952,0
12101,0.0150357,0
12103,0.0203394,0
12105,0.0160779,0
12107,0.0399066,0
12109,0.0203475,0
12111,0.0294905,0
12113,0.0148128,0
12115,0.0169935,0
12117,0.0185294,0
12119,0.0134581,0
12121,0.015043,0
12123,0.0260034,0
12125,0.012851,0
12127,0.0234961,0
12129,0.0160746,0
12131,0.0309211,0
12133,0.0131059,0
13001,0.0392982,0
13003,0.0206867,0
13005,0.0139359,0
13007,0.0179276,0
13009,0.0225819,0
13011,0.0220345,0
13013,0.0202412,0
13015,0.0305294,0
13017,0.021014,0
13019,0.0211051,0
13021,0.0222794,0
13023,0.0135809,0
13025,0.0156335,0
13027,0.0174744,0
13029,0.0176029,0
13031,0.0189688,0
13033,0.0765637,0
13035,0.0243089,0
13037,0.025439,0
13039,0.0319051,0
13043,0.0198595,0
13045,0.0224296,0
13047,0.0133649,0
13049,0.024437,0
13051,0.0317214,0
13053,0.006142,0
13055,0.0161242,0
13057,0.0153308,0
13059,0.0355083,0
13061,0.0202191,0
13063,0.024297,0
13065,0.0280993,0
13067,0.0192482,0
13069,0.018359,0
13071,0.0152375,0
13073,0.0135902,0
13075,0.01763,0
13077,0.0216164,0
13079,0.0181905,0
13081,0.0260273,0
13083,0.01509,0
13085,0.0291883,0
13087,0.0200524,0
13089,0.025341,0
13091,0.014154,0
13093,0.0258319,0
13095,0.0268532,0
13097,0.0229106,0
13099,0.0269466,0
13101,0.0228185,0
13103,0.0184135,0
13105,0.0183383,0
13107,0.0172943,0
13109,0.0197871,0
13111,0.0149078,0
13113,0.0187528,0
13115,0.0264785,0
13117,0.0212183,0
13119,0.0189125,0
13121,0.041836,0
13123,0.0227162,0
13125,0.0167744,0
13127,0.0286107,0
13129,0.0224295,0
13131,0.0168673,0
13133,0.0216881,0
13135,0.0253629,0
13137,0.0191389,0
13139,0.0216825,0
13141,0.037178,0
13143,0.0194249,0
13145,0.0182255,0
13147,0.0178396,0
13149,0.0363071,0
13151,0.0218389,0
13153,0.0153433,0
13155,0.0163905,0
13157,0.0227471,0
13159,0.0190036,0
13161,0.0265177,0
13163,0.018232,0
13165,0.0196499,0
13167,0.0135205,0
13169,0.0099168,0
13171,0.0167871,0
13173,0.0221718,0
13175,0.0204416,0
13177,0.0160777,0
13179,0.0204727,0
13181,0.0181141,0
13183,0.0174725,0
13185,0.0231983,0
13187,0.0193024,0
13189,0.0165033,0
13191,0.0266643,0
13193,0.0268798,0
13195,0.0137332,0
13197,0.0147263,0
13199,0.0195172,0
13201,0.015838,0
13205,0.0170797,0
13207,0.0360155,0
13209,0.0161511,0
13211,0.0276211,0
13213,0.0180917,0
13215,0.0194441,0
13217,0.0237131,0
13219,0.0137254,0
13221,0.0154472,0
13223,0.0180104,0
13225,0.0189698,0
